year_t,month_t,day_t,rain_t
2021,4,1,0
2021,4,2,0
2021,4,3,0
2021,4,4,3.5
2021,4,5,0
2021,4,6,0
2021,4,7,0
2021,4,8,1.5
2021,4,9,0
2021,4,10,0
2021,4,11,0
2021,4,12,0
2021,4,13,4.5
2021,4,14,7.5
2021,4,15,0
2021,4,16,0
2021,4,17,33
2021,4,18,13
2021,4,19,0
2021,4,20,0
2021,4,21,0
2021,4,22,0
2021,4,23,0
2021,4,24,0
2021,4,25,0
2021,4,26,0
2021,4,27,0
2021,4,28,0
2021,4,29,43
2021,4,30,10.5
2021,5,1,9.5
2021,5,2,8.5
2021,5,3,3.5
2021,5,4,0
2021,5,5,2.5
2021,5,6,0
2021,5,7,0
2021,5,8,0
2021,5,9,0
2021,5,10,0
2021,5,11,0
2021,5,12,0
2021,5,13,0
2021,5,14,0
2021,5,15,0.5
2021,5,16,1.5
2021,5,17,3
2021,5,18,9
2021,5,19,2
2021,5,20,3.5
2021,5,21,17
2021,5,22,19
2021,5,23,1
2021,5,24,0
2021,5,25,15.5
2021,5,26,0
2021,5,27,13
2021,5,28,0
2021,5,29,0
2021,5,30,0
2021,5,31,13
2021,6,1,0
2021,6,2,0
2021,6,3,0
2021,6,4,74
2021,6,5,0
2021,6,6,0
2021,6,7,0
2021,6,8,0
2021,6,9,0
2021,6,10,0
2021,6,11,0
2021,6,12,0
2021,6,13,0
2021,6,14,22.5
2021,6,15,0.5
2021,6,16,7.5
2021,6,17,0.5
2021,6,18,0
2021,6,19,34
2021,6,20,3
2021,6,21,0
2021,6,22,0
2021,6,23,5
2021,6,24,74
2021,6,25,1.5
2021,6,26,0.5
2021,6,27,11
2021,6,28,0.5
2021,6,29,9
2021,6,30,1
2021,7,1,14.5
2021,7,2,4
2021,7,3,1.5
2021,7,4,6
2021,7,5,23
2021,7,6,15
2021,7,7,10.5
2021,7,8,0
2021,7,9,16
2021,7,10,4.5
2021,7,11,16
2021,7,12,2
2021,7,13,3.5
2021,7,14,2
2021,7,15,8.5
2021,7,16,0
2021,7,17,0
2021,7,18,0
2021,7,19,0
2021,7,20,1
2021,7,21,0
2021,7,22,0
2021,7,23,8.5
2021,7,24,0
2021,7,25,0
2021,7,26,0
2021,7,27,0
2021,7,28,0
2021,7,29,25.5
2021,7,30,14.5
2021,7,31,0
2021,8,1,0
2021,8,2,0
2021,8,3,0
2021,8,4,0
2021,8,5,0
2021,8,6,0
2021,8,7,5
2021,8,8,10
2021,8,9,1.5
2021,8,10,0
2021,8,11,22
2021,8,12,17
2021,8,13,80
2021,8,14,51
2021,8,15,28.5
2021,8,16,0
2021,8,17,38
2021,8,18,8
2021,8,19,0
2021,8,20,0
2021,8,21,37.5
2021,8,22,65.5
2021,8,23,11.5
2021,8,24,14.5
2021,8,25,1
2021,8,26,0.5
2021,8,27,0
2021,8,28,0
2021,8,29,1
2021,8,30,1
2021,8,31,0
2021,9,1,25
2021,9,2,6
2021,9,3,17
2021,9,4,24.5
2021,9,5,0
2021,9,6,15.5
2021,9,7,0
2021,9,8,7
2021,9,9,6
2021,9,10,0
2021,9,11,0
2021,9,12,0
2021,9,13,0
2021,9,14,0
2021,9,15,0
2021,9,16,1
2021,9,17,3.5
2021,9,18,54.5
2021,9,19,0
2021,9,20,0
2021,9,21,0
2021,9,22,0.5
2021,9,23,5
2021,9,24,0
2021,9,25,5.5
2021,9,26,1
2021,9,27,0
2021,9,28,0
2021,9,29,0
2021,9,30,3.5
2021,10,1,37.5
2021,10,2,0
2021,10,3,0
2021,10,4,0
2021,10,5,0
2021,10,6,1
2021,10,7,3
2021,10,8,0
2021,10,9,0.5
2021,10,10,0
2021,10,11,0
2021,10,12,5
2021,10,13,8.5
2021,10,14,0
2021,10,15,0
2021,10,16,12.5
2021,10,17,6.5
2021,10,18,0
2021,10,19,1.5
2021,10,20,2.5
2021,10,21,0
2021,10,22,4.5
2021,10,23,0
2021,10,24,0
2021,10,25,1
2021,10,26,10.5
2021,10,27,0.5
2021,10,28,0
2021,10,29,0
2021,10,30,0
2021,10,31,0
2021,11,1,2
2021,11,2,0
2021,11,3,0
2021,11,4,0
2021,11,5,0
2021,11,6,0
2021,11,7,0
2021,11,8,3
2021,11,9,57.5
2021,11,10,0.5
2021,11,11,0
2021,11,12,0
2021,11,13,0
2021,11,14,0
2021,11,15,0
2021,11,16,0
2021,11,17,0
2021,11,18,0
2021,11,19,0
2021,11,20,0
2021,11,21,2
2021,11,22,25.5
2021,11,23,0
2021,11,24,0
2021,11,25,0
2021,11,26,0
2021,11,27,0
2021,11,28,0
2021,11,29,0
2021,11,30,1.5
2021,12,1,53.5
2021,12,2,0
2021,12,3,0
2021,12,4,0
2021,12,5,0
2021,12,6,1.5
2021,12,7,8
2021,12,8,12
2021,12,9,0
2021,12,10,0
2021,12,11,0
2021,12,12,0
2021,12,13,0
2021,12,14,0
2021,12,15,0
2021,12,16,0
2021,12,17,3.5
2021,12,18,2
2021,12,19,0
2021,12,20,0
2021,12,21,0
2021,12,22,0
2021,12,23,0
2021,12,24,0
2021,12,25,0
2021,12,26,1
2021,12,27,2.5
2021,12,28,1.5
2021,12,29,0
2021,12,30,0
2021,12,31,2
2022,1,1,3
2022,1,2,0
2022,1,3,0
2022,1,4,0.5
2022,1,5,0
2022,1,6,0
2022,1,7,0
2022,1,8,0
2022,1,9,0
2022,1,10,0
2022,1,11,8.5
2022,1,12,0
2022,1,13,0
2022,1,14,0
2022,1,15,0
2022,1,16,0
2022,1,17,0
2022,1,18,0
2022,1,19,0
2022,1,20,0.5
2022,1,21,0.5
2022,1,22,0
2022,1,23,0
2022,1,24,0
2022,1,25,0
2022,1,26,0
2022,1,27,0
2022,1,28,0
2022,1,29,0
2022,1,30,0
2022,1,31,0
2022,2,1,0
2022,2,2,0
2022,2,3,0
2022,2,4,0
2022,2,5,0
2022,2,6,0
2022,2,7,0
2022,2,8,0
2022,2,9,0
2022,2,10,2.5
2022,2,11,0
2022,2,12,0
2022,2,13,2
2022,2,14,0
2022,2,15,0
2022,2,16,0
2022,2,17,0
2022,2,18,2
2022,2,19,9
2022,2,20,8
2022,2,21,2.5
2022,2,22,0.5
2022,2,23,0
2022,2,24,0
2022,2,25,0
2022,2,26,0
2022,2,27,0
2022,2,28,0
2022,3,1,0
2022,3,2,0.5
2022,3,3,0
2022,3,4,0
2022,3,5,0
2022,3,6,2.5
2022,3,7,0
2022,3,8,0
2022,3,9,0
2022,3,10,0
2022,3,11,0
2022,3,12,0
2022,3,13,0
2022,3,14,0
2022,3,15,4
2022,3,16,0
2022,3,17,0
2022,3,18,30
2022,3,19,10
2022,3,20,0
2022,3,21,0
2022,3,22,11
2022,3,23,0
2022,3,24,1
2022,3,25,0
2022,3,26,3
2022,3,27,1
2022,3,28,0
2022,3,29,0
2022,3,30,0
2022,3,31,0
2022,4,1,0
2022,4,2,0
2022,4,3,3
2022,4,4,16
2022,4,5,0
2022,4,6,0
2022,4,7,1
2022,4,8,0
2022,4,9,0
2022,4,10,0
2022,4,11,0
2022,4,12,0
2022,4,13,0
2022,4,14,3
2022,4,15,8.5
2022,4,16,0.5
2022,4,17,0
2022,4,18,15.5
2022,4,19,0
2022,4,20,0
2022,4,21,1.5
2022,4,22,6.5
2022,4,23,0
2022,4,24,0
2022,4,25,0
2022,4,26,0
2022,4,27,2
2022,4,28,0
2022,4,29,40
2022,4,30,0
2022,5,1,18.5
2022,5,2,4
2022,5,3,0
2022,5,4,0
2022,5,5,0
2022,5,6,0
2022,5,7,2
2022,5,8,0
2022,5,9,6.5
2022,5,10,0
2022,5,11,0
2022,5,12,0
2022,5,13,26
2022,5,14,10.5
2022,5,15,0
2022,5,16,4
2022,5,17,0.5
2022,5,18,0
2022,5,19,0
2022,5,20,0
2022,5,21,6
2022,5,22,6.5
2022,5,23,12.5
2022,5,24,0
2022,5,25,0
2022,5,26,0
2022,5,27,84
2022,5,28,0
2022,5,29,0
2022,5,30,0
2022,5,31,19
2022,6,1,0
2022,6,2,5.5
2022,6,3,1.5
2022,6,4,0
2022,6,5,0
2022,6,6,35
2022,6,7,8
2022,6,8,1.5
2022,6,9,3
2022,6,10,5.5
2022,6,11,24.5
2022,6,12,1
2022,6,13,0
2022,6,14,0
2022,6,15,0.5
2022,6,16,0
2022,6,17,0
2022,6,18,0
2022,6,19,0.5
2022,6,20,0
2022,6,21,0
2022,6,22,0
2022,6,23,5.5
2022,6,24,3
2022,6,25,0
2022,6,26,2.5
2022,6,27,0
2022,6,28,0
2022,6,29,0
2022,6,30,0
2022,7,1,0
2022,7,2,0
2022,7,3,0
2022,7,4,3.5
2022,7,5,1
2022,7,6,2
2022,7,7,0
2022,7,8,0
2022,7,9,0
2022,7,10,0
2022,7,11,0
2022,7,12,21.5
2022,7,13,16
2022,7,14,19
2022,7,15,26
2022,7,16,16.5
2022,7,17,21.5
2022,7,18,0
2022,7,19,4
2022,7,20,0
2022,7,21,8
2022,7,22,42.5
2022,7,23,12
2022,7,24,0
2022,7,25,0
2022,7,26,9.5
2022,7,27,53.5
2022,7,28,0
2022,7,29,27
2022,7,30,0
2022,7,31,23.5
2022,8,1,0
2022,8,2,0
2022,8,3,0
2022,8,4,2.5
2022,8,5,7.5
2022,8,6,1.5
2022,8,7,0
2022,8,8,0
2022,8,9,16
2022,8,10,40
2022,8,11,0
2022,8,12,0
2022,8,13,12.5
2022,8,14,0
2022,8,15,0
2022,8,16,0
2022,8,17,8.5
2022,8,18,7.5
2022,8,19,0
2022,8,20,4.5
2022,8,21,3.5
2022,8,22,0.5
2022,8,23,0
2022,8,24,0
2022,8,25,0
2022,8,26,12.5
2022,8,27,25.5
2022,8,28,18.5
2022,8,29,0
2022,8,30,7.5
2022,8,31,2.5
2022,9,1,0.5
2022,9,2,0
2022,9,3,3.5
2022,9,4,0.5
2022,9,5,0
2022,9,6,0
2022,9,7,13
2022,9,8,12.5
2022,9,9,0
2022,9,10,0
2022,9,11,0
2022,9,12,0
2022,9,13,0
2022,9,14,0
2022,9,15,4
2022,9,16,0.5
2022,9,17,0
2022,9,18,15
2022,9,19,7
2022,9,20,20.5
2022,9,21,0
2022,9,22,0.5
2022,9,23,23
2022,9,24,120
2022,9,25,0
2022,9,26,0
2022,9,27,0
2022,9,28,0
2022,9,29,0
2022,9,30,0
2022,10,1,0
2022,10,2,0
2022,10,3,0
2022,10,4,0
2022,10,5,0
2022,10,6,2.5
2022,10,7,19.5
2022,10,8,0
2022,10,9,3.5
2022,10,10,8.5
2022,10,11,0
2022,10,12,0
2022,10,13,1
2022,10,14,2.5
2022,10,15,0
2022,10,16,1
2022,10,17,4.5
2022,10,18,0
2022,10,19,0
2022,10,20,0
2022,10,21,0
2022,10,22,0
2022,10,23,0
2022,10,24,1
2022,10,25,0
2022,10,26,0
2022,10,27,0
2022,10,28,0
2022,10,29,0
2022,10,30,0
2022,10,31,0
2022,11,1,0.5
2022,11,2,0
2022,11,3,0
2022,11,4,0
2022,11,5,0
2022,11,6,0
2022,11,7,0
2022,11,8,0
2022,11,9,0
2022,11,10,0
2022,11,11,0
2022,11,12,0
2022,11,13,0
2022,11,14,0
2022,11,15,0.5
2022,11,16,0
2022,11,17,0
2022,11,18,0
2022,11,19,0
2022,11,20,11
2022,11,21,11.5
2022,11,22,0
2022,11,23,29
2022,11,24,4
2022,11,25,0
2022,11,26,0
2022,11,27,0
2022,11,28,0.5
2022,11,29,13
2022,11,30,0
2022,12,1,0
2022,12,2,0
2022,12,3,0
2022,12,4,0
2022,12,5,3.5
2022,12,6,2.5
2022,12,7,0
2022,12,8,0
2022,12,9,0
2022,12,10,0
2022,12,11,0
2022,12,12,0
2022,12,13,3
2022,12,14,0
2022,12,15,0
2022,12,16,0
2022,12,17,0
2022,12,18,0
2022,12,19,0
2022,12,20,0
2022,12,21,0
2022,12,22,14.5
2022,12,23,0
2022,12,24,0.5
2022,12,25,0
2022,12,26,0
2022,12,27,0
2022,12,28,0
2022,12,29,0
2022,12,30,0
2022,12,31,0
2023,1,1,0
2023,1,2,0
2023,1,3,0
2023,1,4,0
2023,1,5,0
2023,1,6,0
2023,1,7,0
2023,1,8,0
2023,1,9,0
2023,1,10,0
2023,1,11,0
2023,1,12,0
2023,1,13,0
2023,1,14,0
2023,1,15,3.5
2023,1,16,3.5
2023,1,17,0
2023,1,18,0
2023,1,19,0
2023,1,20,0
2023,1,21,0
2023,1,22,0
2023,1,23,0
2023,1,24,0
2023,1,25,6.5
2023,1,26,0
2023,1,27,0
2023,1,28,0
2023,1,29,0
2023,1,30,0
2023,1,31,0
2023,2,1,0
2023,2,2,0
2023,2,3,0
2023,2,4,0
2023,2,5,0
2023,2,6,0
2023,2,7,0
2023,2,8,0
2023,2,9,0
2023,2,10,22.5
2023,2,11,0
2023,2,12,0
2023,2,13,1
2023,2,14,0
2023,2,15,0
2023,2,16,0
2023,2,17,0
2023,2,18,0
2023,2,19,0
2023,2,20,0
2023,2,21,0
2023,2,22,0
2023,2,23,0
2023,2,24,0
2023,2,25,0
2023,2,26,0
2023,2,27,0
2023,2,28,0
2023,3,1,0
2023,3,2,0
2023,3,3,0
2023,3,4,0
2023,3,5,0
2023,3,6,0
2023,3,7,0
2023,3,8,0
2023,3,9,0
2023,3,10,0
2023,3,11,0
2023,3,12,0
2023,3,13,12.5
2023,3,14,0
2023,3,15,0
2023,3,16,0
2023,3,17,1.5
2023,3,18,23
2023,3,19,0
2023,3,20,0
2023,3,21,0
2023,3,22,0
2023,3,23,17
2023,3,24,0.5
2023,3,25,2.5
2023,3,26,22
2023,3,27,0
2023,3,28,0
2023,3,29,0
2023,3,30,0
2023,3,31,0
2023,4,1,0
2023,4,2,0
2023,4,3,0
2023,4,4,0
2023,4,5,0
2023,4,6,0
2023,4,7,13.5
2023,4,8,0.5
2023,4,9,0
2023,4,10,0
2023,4,11,0
2023,4,12,0
2023,4,13,0
2023,4,14,0
2023,4,15,20
2023,4,16,2.5
2023,4,17,0
2023,4,18,3.5
2023,4,19,0.5
2023,4,20,0
2023,4,21,0
2023,4,22,0
2023,4,23,0
2023,4,24,0
2023,4,25,0.5
2023,4,26,39.5
2023,4,27,0
2023,4,28,0
2023,4,29,0
2023,4,30,4.5
2023,5,1,4.5
2023,5,2,0
2023,5,3,0
2023,5,4,0
2023,5,5,0
2023,5,6,0
2023,5,7,24.5
2023,5,8,20.5
2023,5,9,0
2023,5,10,0
2023,5,11,0
2023,5,12,0
2023,5,13,8
2023,5,14,1
2023,5,15,11
2023,5,16,0
2023,5,17,0
2023,5,18,0
2023,5,19,22
2023,5,20,0.5
2023,5,21,0
2023,5,22,10.5
2023,5,23,7.5
2023,5,24,0
2023,5,25,0
2023,5,26,0
2023,5,27,0
2023,5,28,0
2023,5,29,13.5
2023,5,30,0
2023,5,31,0
2023,6,1,1
2023,6,2,58.5
2023,6,3,2
2023,6,4,0
2023,6,5,0
2023,6,6,3.5
2023,6,7,0
2023,6,8,0
2023,6,9,29.5
2023,6,10,0
2023,6,11,21.5
2023,6,12,0.5
2023,6,13,10
2023,6,14,35
2023,6,15,2
2023,6,16,3
2023,6,17,0
2023,6,18,0
2023,6,19,0
2023,6,20,0
2023,6,21,0
2023,6,22,35
2023,6,23,2.5
2023,6,24,1.5
2023,6,25,0
2023,6,26,2.5
2023,6,27,1
2023,6,28,29.5
2023,6,29,2.5
2023,6,30,2.5
2023,7,1,1.5
2023,7,2,0
2023,7,3,0
2023,7,4,0
2023,7,5,2.5
2023,7,6,1
2023,7,7,0
2023,7,8,1.5
2023,7,9,0.5
2023,7,10,28
2023,7,11,14
2023,7,12,0
2023,7,13,2
2023,7,14,3.5
2023,7,15,3.5
2023,7,16,0
2023,7,17,0
2023,7,18,0
2023,7,19,18
2023,7,20,42
2023,7,21,0
2023,7,22,0
2023,7,23,0
2023,7,24,0
2023,7,25,0
2023,7,26,0
2023,7,27,0
2023,7,28,0
2023,7,29,0
2023,7,30,0
2023,7,31,0